# level,theme,typeCount,slotCapacity,threeStarSeconds,twoStarSeconds,clearReward,layers
# v9 progression: staged theme unlocks; slower icon-type ramp; level 120+ supports 4 layers; level 360+ supports 5 layers
29,Plant,4,7,97,194,31,Custom:..X.../.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.93|LayerStagger9@0.5:0.5:0.64
30,Animal,4,7,134,268,31,Custom:..XXX/XXXXX/XXXXX/XXXXX@0:0:1|LayerBlock9@0.5:0.5:0.93|LayerOffset12@0.5:0.5:0.62
31,Food,4,7,103,206,31,Custom:..XXXX/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.93|LayerMiniDiamond9@0.5:0.5:0.64
32,Plant,4,7,129,258,32,Heart24@0:0:1|LayerCorners12@0.5:0.5:0.93|LayerDiagonal6@0.5:0.5:0.61
33,Animal,4,7,104,208,32,Custom:.XX.../XXX.../XXXX../XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.93|LayerLine12@0.5:0.5:0.64
34,Food,4,7,104,208,32,Custom:..XXX/XXXXX/XXXXX/..XXX/XXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.93|LayerCap18@0.5:0.5:0.64
35,Plant,4,7,104,208,32,Custom:..XXXX/..XXXX/...XXX/..XXXX/XXXXXX@0:0:1|LayerCap18@0.5:0.5:0.93|LayerCross15@0.5:0.5:0.64
36,Animal,4,7,129,258,32,Custom:XX..../XX.XX./.XXXXX/.XXXXX/.XXXXX@0:0:1|LayerPillar12@0.5:0.5:0.93|LayerCross15@0.5:0.5:0.61
37,Food,4,7,105,210,32,Custom:XXX.../XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.93|LayerDiamond15@0.5:0.5:0.64
38,Plant,4,7,105,210,32,Custom:.X...../XXX.XXX/XXXXXXX/XXXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.92|LayerPillar12@0.5:0.5:0.64
39,Animal,4,7,105,210,32,Custom:XXXX../XXXXX./XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.92|LayerStagger9@0.5:0.5:0.64
40,Food,4,7,142,284,33,Custom:.XX..X/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.92|LayerLine12@0.5:0.5:0.61
41,Food,4,7,106,212,33,Custom:.X.XX/XX.XX/XXXXX/.XXXX/XXXXX@0:0:1|LayerLine12@0.5:0.5:0.92|LayerMiniDiamond9@0.5:0.5:0.64
42,Plant,4,7,106,212,33,Custom:X...X./X..XX./XX.XX./XXXXXX/XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.92|LayerDiagonal6@0.5:0.5:0.64
43,Animal,4,7,106,212,33,Custom:..X.X./.XXXX./.XXXX./.XXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.92|LayerLine12@0.5:0.5:0.64
44,Sweet,4,7,131,262,33,Custom:....XXX/X.X.XXX/X.XXXXX/XXXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.92|LayerOffset12@0.5:0.5:0.61
45,Food,4,7,106,212,33,Custom:XX.X../XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCap18@0.5:0.5:0.92|LayerCross15@0.5:0.5:0.64
46,Plant,4,7,107,214,33,Custom:X..XXX/XXXXX./XXXXXX/XXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.92|LayerOffset12@0.5:0.5:0.64
47,Animal,4,7,107,214,33,Custom:.X..XX/XXXXXX/.XXXXX/.XXXX./..X.XX@0:0:1|LayerCross15@0.5:0.5:0.92|LayerDiamond15@0.5:0.5:0.64
48,Sweet,4,7,132,264,34,PrettyGem24@0:0:1|LayerStagger9@0.5:0.5:0.92|LayerStagger9@0.5:0.5:0.61
49,Food,4,7,107,214,34,Custom:.....X/..XXXX/X..XXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.92|LayerStagger9@0.5:0.5:0.64
50,Plant,4,7,145,290,54,Custom:...X.XX/..XXXXX/.XXXXXX/XXXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.92|LayerCross15@0.5:0.5:0.61
51,Animal,4,7,108,216,34,Custom:...XX./...XXX/..XXXX/XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.92|LayerMiniDiamond9@0.5:0.5:0.64
52,Sweet,4,7,133,266,34,Custom:X...XX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.92|LayerPillar12@0.5:0.5:0.61
53,Food,4,7,108,216,34,Custom:X....../XXXX.XX/XXXXXXX/XXXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.92|LayerLine12@0.5:0.5:0.64
54,Plant,4,7,108,216,34,Custom:XX..../XXX.../XXXX../XXXXXX/XXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.92|LayerCap18@0.5:0.5:0.64
55,Animal,4,7,109,218,34,Custom:..X.../XXXX../X.XXX./XXXXXX/XXXXXX@0:0:1|LayerCap18@0.5:0.5:0.92|LayerCross15@0.5:0.5:0.64
56,Sweet,4,7,134,268,35,Custom:.....X./X.XXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.92|LayerMiniDiamond9@0.5:0.5:0.61
57,Food,4,7,109,218,35,Custom:.XXXXX/.XXX.X/XXXXXX/XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.92|LayerDiamond15@0.5:0.5:0.64
58,Plant,4,7,109,218,35,Custom:.X.XXX/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.92|LayerPillar12@0.5:0.5:0.64
59,Animal,4,7,109,218,35,Custom:...XXX./..XXXXX/.XXXXXX/XXXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.92|LayerStagger9@0.5:0.5:0.64
60,Sweet,4,7,147,294,35,Custom:.XXX../XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.92|LayerDiagonal6@0.5:0.5:0.61
61,Food,4,7,110,220,35,Custom:XX..../.XXX../.XXXXX/XX.XXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.92|LayerMiniDiamond9@0.5:0.5:0.64
62,Plant,4,7,110,220,35,Custom:..XX.../.XXXXX./XXXXXXX/XXXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.92|LayerDiagonal6@0.5:0.5:0.64
63,Animal,4,7,110,220,35,Custom:.....X/..XXXX/..XXXX/XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.91|LayerLine12@0.5:0.5:0.64
64,Sweet,4,7,136,272,36,PrettyFlower24@0:0:1|LayerDiamond15@0.5:0.5:0.91|LayerCross15@0.5:0.5:0.61
65,Food,4,7,111,222,36,Custom:..XXXXX/..XXXXX/...XXXX/XXXXXXX@0:0:1|LayerCap18@0.5:0.5:0.91|LayerCross15@0.5:0.5:0.64
66,Plant,4,7,111,222,36,Custom:.XXXX./XXXXX./XXXXXX/XXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.91|LayerOffset12@0.5:0.5:0.64
67,Animal,4,7,111,222,36,Custom:...XX./..XXXX/XXXXX./XXXX../XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.91|LayerDiamond15@0.5:0.5:0.64
68,Sweet,4,7,136,272,36,Custom:....XX/...XXX/.XXXXX/.XXXXX/XXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.91|LayerLine12@0.5:0.5:0.61
69,Food,4,7,112,224,36,Custom:...X../..XXX./.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.91|LayerStagger9@0.5:0.5:0.64
70,Plant,4,7,149,298,36,Custom:.....X/.X...X/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.91|LayerMiniDiamond9@0.5:0.5:0.61
71,Animal,5,7,118,236,36,Custom:X.....X/.X....X/XXXX.XX/XXXXXXX/XXXXXXX@0:0:1|LayerLine12@0.5:0.5:0.91|LayerMiniDiamond9@0.5:0.5:0.64
72,Sweet,5,7,143,286,37,Custom:...X.../..XXXX./..XXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.91|LayerOffset12@0.5:0.5:0.61
73,Food,5,7,119,238,37,Custom:.X..X./XX.XX./XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.91|LayerLine12@0.5:0.5:0.64
74,Plant,5,7,119,238,37,Custom:...XXX./.XXXXX./X...XXX/XX..XXX/XXXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.91|LayerCap18@0.5:0.5:0.64
75,Animal,5,7,144,288,57,Custom:.X.XXXX/.XXXXXX/.XXXXXX/XXXXXXX@0:0:1|LayerCap18@0.5:0.5:0.91|LayerLine12@0.5:0.5:0.61
76,Sweet,5,7,144,288,37,Custom:XXX../XXXX./XXX../XXXXX/XXXXX/XXXX.@0:0:1|LayerPillar12@0.5:0.5:0.91|LayerStagger9@0.5:0.5:0.61
77,Food,5,7,119,238,37,Custom:..X.XXX/XXXXXXX/XX.XXXX/XXXXXXX@0:0:1|LayerCross15@0.5:0.5:0.91|LayerDiamond15@0.5:0.5:0.64
78,Plant,5,7,120,240,37,Custom:.XXXX../XXXXXX./XXXXXXX/XXXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.91|LayerPillar12@0.5:0.5:0.64
79,Animal,5,7,120,240,37,Custom:..XX../X.XXXX/XXXXXX/XXXXXX/XX.XXX@0:0:1|LayerOffset12@0.5:0.5:0.91|LayerStagger9@0.5:0.5:0.64
80,Sweet,5,7,157,314,38,Custom:.XXXX../.XXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.91|LayerPillar12@0.5:0.5:0.61
81,Food,5,7,120,240,38,Custom:.X...XX/.XX..XX/....XXX/XXXXXXX/XXXXXXX@0:0:1|LayerLine12@0.5:0.5:0.91|LayerMiniDiamond9@0.5:0.5:0.64
82,Plant,5,7,121,242,38,Custom:.XXXX./XXXXXX/XXX.XX/..XXXX/.X.XXX/....X.@0:0:1|LayerCorners12@0.5:0.5:0.91|LayerDiagonal6@0.5:0.5:0.64
83,Animal,5,7,121,242,38,Custom:...X../.X.XX./.XXXXX/XXXXXX/.XXXXX/..XXXX@0:0:1|LayerCrown15@0.5:0.5:0.91|LayerLine12@0.5:0.5:0.64
84,Sweet,5,7,146,292,38,Custom:.XX..../..X..../X.XX.../XXXX.XX/XXX.XXX/.XXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.91|LayerMiniDiamond9@0.5:0.5:0.61
85,Bug,5,7,121,242,38,Custom:...XXX/.XXXXX/.X.XXX/XXXXXX/XXXXXX@0:0:1|LayerCap18@0.5:0.5:0.91|LayerCross15@0.5:0.5:0.64
86,Food,5,7,121,242,38,Custom:X....XX/XX..XXX/XX.X.XX/...XXXX/XXXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.91|LayerOffset12@0.5:0.5:0.64
87,Plant,5,7,122,244,38,Custom:....X../.XXXXX./X..XXX./XXXXXXX/XXXXXXX@0:0:1|LayerCross15@0.5:0.5:0.91|LayerDiamond15@0.5:0.5:0.64
88,Animal,5,7,147,294,39,Custom:XXX.../XXXX../XXXXX./XXXXXX/XXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.90|LayerDiagonal6@0.5:0.5:0.61
89,Sweet,5,7,122,244,39,Custom:...X.../.XXX.../XXXX.XX/XXXXXXX/XXXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.90|LayerStagger9@0.5:0.5:0.64
90,Bug,5,7,159,318,39,PrettyRibbon30@0:0:1|LayerBlock9@0.5:0.5:0.90|LayerStagger9@0.5:0.5:0.61
91,Food,5,7,123,246,39,Custom:X....X/.XX.XX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.90|LayerMiniDiamond9@0.5:0.5:0.64
92,Plant,5,7,148,296,39,Custom:.X...../XXX..X./XX.XXXX/.XXXXXX/XXXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.90|LayerCross15@0.5:0.5:0.60
93,Animal,5,7,123,246,39,Custom:...X.../XXXXXXX/XXXXXXX/XXX.XX./X...XXX@0:0:1|LayerCrown15@0.5:0.5:0.90|LayerLine12@0.5:0.5:0.64
94,Sweet,5,7,123,246,39,Custom:X.XXXX/.X.X.X/.XXXXX/.XXXXX/XXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.90|LayerCap18@0.5:0.5:0.64
95,Bug,5,7,123,246,39,Custom:....X../...XXXX/.XX.XXX/XXXXXXX/XXXXXXX@0:0:1|LayerCap18@0.5:0.5:0.90|LayerCross15@0.5:0.5:0.64
96,Food,5,7,149,298,40,Custom:....XX./X.XXXX./XXXXXX./.XXXX.X/.XXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.90|LayerLine12@0.5:0.5:0.60
97,Plant,5,7,124,248,40,Custom:XX..X./XX...X/XXXXX./XXXXX./.XX.X./XXXX.X@0:0:1|LayerCross15@0.5:0.5:0.90|LayerDiamond15@0.5:0.5:0.64
98,Animal,5,7,124,248,40,Custom:X..XXXX/.X..XXX/X..XXXX/.X.XXXX/X..XXXX@0:0:1|LayerStagger9@0.5:0.5:0.90|LayerPillar12@0.5:0.5:0.64
99,Sweet,5,7,124,248,40,Custom:...XX../..XXXX./.XXXXX./.XXXXXX/XXXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.90|LayerStagger9@0.5:0.5:0.64
100,Bug,5,7,162,324,60,Custom:X..X../XXXXX./X.XXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.90|LayerOffset12@0.5:0.5:0.60
101,Food,5,7,125,250,40,Custom:....XX./XX...XX/XX.XXX./XXXXXX./XXXXXXX@0:0:1|LayerLine12@0.5:0.5:0.90|LayerMiniDiamond9@0.5:0.5:0.64
102,Plant,5,7,125,250,40,Custom:....XX./.XX.XXX/.X.XX../XXXXXXX/XXXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.90|LayerDiagonal6@0.5:0.5:0.64
103,Animal,5,7,125,250,40,Custom:...XXX/...XXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.90|LayerLine12@0.5:0.5:0.64
104,Sweet,5,7,150,300,41,Custom:...X.../..XXX../XXXXXX./XXXXXXX/XXXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.90|LayerStagger9@0.5:0.5:0.60
105,Bug,5,7,126,252,41,Custom:.XXXX../..XXX../..XX.XX/.XXXXXX/XXXXXXX@0:0:1|LayerCap18@0.5:0.5:0.90|LayerCross15@0.5:0.5:0.64
106,Food,5,7,126,252,41,Custom:..XXX./.XXXXX/..XXXX/XXXXXX/XXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.90|LayerOffset12@0.5:0.5:0.64
107,Plant,5,7,126,252,41,Custom:X.....X/XX...XX/XXX..XX/XXXX.XX/XXXXXXX@0:0:1|LayerCross15@0.5:0.5:0.90|LayerDiamond15@0.5:0.5:0.64
108,Animal,5,7,151,302,41,Custom:.X.X.XX/XXXX.../.XX..../XXXXXXX/XXXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.90|LayerPillar12@0.5:0.5:0.60
109,Sweet,5,7,126,252,41,Custom:..XX../.XXXXX/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.90|LayerStagger9@0.5:0.5:0.64
110,Bug,5,7,164,328,41,Custom:.XX.XXX/X.X.XXX/X..XXXX/....XXX/...XXX./..X.XX.@0:0:1|LayerBlock9@0.5:0.5:0.90|LayerLine12@0.5:0.5:0.60
111,Food,5,7,127,254,41,Custom:....X../....XX./XXXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerLine12@0.5:0.5:0.90|LayerMiniDiamond9@0.5:0.5:0.64
112,Plant,5,7,152,304,42,Custom:....X./...XXX/.XXXX./XXXXX./XXXXX./XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.90|LayerMiniDiamond9@0.5:0.5:0.60
113,Animal,5,7,127,254,42,Custom:.X.X.XX/XXXXXXX/.XXXXXX/XXXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.89|LayerLine12@0.5:0.5:0.64
114,Sweet,5,7,128,256,42,Custom:...XXX./..X.XX./.X.XXXX/XX.XXXX/XXXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.89|LayerCap18@0.5:0.5:0.64
115,Bug,5,7,128,256,42,Custom:X...XX/XX.XXX/XXXXX./XX.XXX/XXXXXX@0:0:1|LayerCap18@0.5:0.5:0.89|LayerCross15@0.5:0.5:0.64
116,Food,5,7,153,306,42,Custom:XX.X.../XXXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.89|LayerDiagonal6@0.5:0.5:0.60
117,Plant,5,7,128,256,42,Custom:...XXX./...X.XX/.X.XXXX/XXXXXXX/XXXX.XX@0:0:1|LayerCross15@0.5:0.5:0.89|LayerDiamond15@0.5:0.5:0.64
118,Animal,5,7,128,256,42,Custom:....XX/.XXXXX/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.89|LayerPillar12@0.5:0.5:0.64
119,Sweet,5,7,129,258,42,Custom:X...../XX.XXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.89|LayerStagger9@0.5:0.5:0.64
120,Bug,5,7,166,332,43,PrettyBow30@0:0:1|LayerBlock9@0.5:0.5:0.89|LayerCross15@0.5:0.5:0.60|LayerCross15@0.5:0.5:0.5
121,Food,5,7,129,258,43,Custom:....XX/XX.XXX/XX.XXX/XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.89|LayerMiniDiamond9@0.5:0.5:0.64|LayerOffset12@0.5:0.5:0.5
122,Plant,5,7,129,258,43,Custom:.X..../.XXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.89|LayerDiagonal6@0.5:0.5:0.64|LayerDiamond15@0.5:0.5:0.5
123,Animal,5,7,130,260,43,Custom:..XXX.X/.XXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.89|LayerLine12@0.5:0.5:0.64|LayerPillar12@0.5:0.5:0.5
124,Sweet,5,7,155,310,43,Custom:.XX.../.XXXXX/..XXXX/.XXXX./..XXXX/XX.XXX@0:0:1|LayerDiamond15@0.5:0.5:0.89|LayerLine12@0.5:0.5:0.60|LayerStagger9@0.5:0.5:0.5
125,Bug,5,7,155,310,63,Custom:..XX../..XX.X/..XXXX/.XXXXX/XXXXX./.XXXXX@0:0:1|LayerCap18@0.5:0.5:0.89|LayerStagger9@0.5:0.5:0.60|LayerCrown15@0.5:0.5:0.5
126,Food,5,7,130,260,43,Custom:....X.X/....XXX/..XXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.89|LayerOffset12@0.5:0.5:0.64|LayerMiniDiamond9@0.5:0.5:0.5
127,Plant,5,7,130,260,43,Custom:..XXX./XXXX../XXXXX./XXXXXX/XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.89|LayerDiamond15@0.5:0.5:0.64|LayerDiagonal6@0.5:0.5:0.5
128,Animal,5,7,156,312,44,Custom:XX..X./XXXXXX/XXXXXX/..XXX./XXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.89|LayerOffset12@0.5:0.5:0.60|LayerLine12@0.5:0.5:0.5
129,Sweet,5,7,131,262,44,Custom:.X...X./.X..XXX/XX..XXX/.XXXXXX/XXXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.89|LayerStagger9@0.5:0.5:0.64|LayerCap18@0.5:0.5:0.5
130,Bug,5,7,168,336,44,Custom:XXX.../XX..X./XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.89|LayerDiagonal6@0.5:0.5:0.60|LayerCross15@0.5:0.5:0.5
131,Food,5,7,137,274,44,Custom:XXX.../XXXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.89|LayerMiniDiamond9@0.5:0.5:0.64|LayerOffset12@0.5:0.5:0.5
132,Plant,5,7,163,326,44,Custom:XX...XX/..XXXXX/X..XXXX/XXX.XXX/XXXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.89|LayerStagger9@0.5:0.5:0.60|LayerDiamond15@0.5:0.5:0.5
133,Animal,5,7,138,276,44,Custom:X....X/XXX.XX/XXXXXX/XX.XXX/XX.XXX/X..XXX@0:0:1|LayerCrown15@0.5:0.5:0.89|LayerLine12@0.5:0.5:0.64|LayerPillar12@0.5:0.5:0.5
134,Sweet,5,7,138,276,44,Custom:..XXX./XXXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.89|LayerCap18@0.5:0.5:0.64|LayerStagger9@0.5:0.5:0.5
135,Bug,5,7,138,276,44,Custom:.....X./XXX..XX/XXXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerCap18@0.5:0.5:0.89|LayerCross15@0.5:0.5:0.64|LayerCrown15@0.5:0.5:0.5
136,Food,5,7,163,326,45,Custom:X...XX/XXXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerPillar12@0.5:0.5:0.89|LayerPillar12@0.5:0.5:0.60|LayerMiniDiamond9@0.5:0.5:0.5
137,Plant,5,7,139,278,45,Custom:.XXXX./.XXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.89|LayerDiamond15@0.5:0.5:0.64|LayerDiagonal6@0.5:0.5:0.5
138,Animal,5,7,139,278,45,Custom:....X../XX.XX.X/XXXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerStagger9@0.5:0.5:0.88|LayerPillar12@0.5:0.5:0.64|LayerLine12@0.5:0.5:0.5
139,Sweet,5,7,139,278,45,Custom:.X..X./XX.XXX/...XX./XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.88|LayerStagger9@0.5:0.5:0.64|LayerCap18@0.5:0.5:0.5
140,Bug,5,7,176,352,45,Custom:...X../.XXX../.XXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerBlock9@0.5:0.5:0.88|LayerMiniDiamond9@0.5:0.5:0.60|LayerCross15@0.5:0.5:0.5
141,Animal,6,7,140,280,45,Custom:..X..../.XX.XXX/XXXXXXX/XXXXXXX/XXXXXXX@0:0:1|LayerLine12@0.5:0.5:0.88|LayerMiniDiamond9@0.5:0.5:0.64|LayerOffset12@0.5:0.5:0.5
142,Sweet,6,7,140,280,45,Custom:.X.XX./XXXXXX/XXXXXX/XXXXXX/XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.88|LayerDiagonal6@0.5:0.5:0.64|LayerDiamond15@0.5:0.5:0.5
143,Bug,6,7,140,280,45,Custom:.XXXXX/X.XXXX/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.88|LayerLine12@0.5:0.5:0.64|LayerPillar12@0.5:0.5:0.5
144,Vehicle,6,7,165,330,46,Custom:.....XX/XXX.XXX/XXX..XX/XXXXXXX/XXXXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.88|LayerDiagonal6@0.5:0.5:0.60|LayerStagger9@0.5:0.5:0.5
